size, ARRAY, BINARY_TREE, HASH_TABLE
10000, 922217516, 8047469, 4935482
10000, 893515350, 3244133, 1636507
10000, 1038367764, 3123365, 1363464
100000, 4088574092, 4100893, 1604418
100000, 4424993451, 4273295, 1579915
100000, 5296396127, 4410108, 1746774
1000000, 50014403299, 7697706, 2586322
1000000, 50179007559, 5461731, 1879211
1000000, 50763058943, 6641416, 1975184
10000000, , 7347652, 2226641
10000000, , 7691873, 4210285
10000000, , 10476267, 2003189
