size, ARRAY, BINARY_TREE, HASH_TABLE
0, 0, 0, 0
1, 2431, 167443, 59509
10, 1361, 14099, 45118
100, 10696, 341303, 980834
1000, 247664, 419871, 970332
10000, 1220719, 4152720, 4854775
100000, 1369686, 48755059, 15281937
