size, ARRAY, BINARY_TREE, HASH_TABLE
0, 0, 0, 0
1, 1653, 2820, 5542
10, 15655, 25476, 39187
100, 883208, 183390, 58050
1000, 44453954, 528290, 606956
10000, 288223901, 2839042, 2302097
100000, 28963859168, 42892320, 17028711
