size, ARRAY, BINARY_TREE, HASH_TABLE
10000, 259528054, 1344545, 468025
10000, 325443623, 1001738, 796464
10000, 351697155, 831360, 379757
100000, 0, 1108480, 347940
100000, 0, 1113612, 334597
100000, 0, 1045872, 339729
1000000, 0, 1359941, 397206
1000000, 0, 1403049, 405416
1000000, 0, 1382521, 426971
10000000, 0, 1720197, 481368
10000000, 0, 1667852, 454683
10000000, 0, 1648352, 453656
