size, ARRAY, BINARY_TREE, HASH_TABLE
10000, 425449689, 5698310, 2284108
10000, 619336040, 3096527, 1526239
10000, 701767252, 3252302, 1427349
100000, 2055966773, 4357017, 1193396
100000, 2283816614, 4281462, 1555410
100000, 2337686850, 4250249, 1611419
1000000, 19547127303, 5486235, 2186677
1000000, 19851233681, 5405722, 1819993
1000000, 20392864249, 5637050, 2021859
10000000, , 7009557, 2183759
10000000, , 8291925, 2225766
10000000, , 10520900, 2087203
